20170413-0,20.30
20170413-1,19.58
20170413-2,18.94
20170413-3,18.91
20170413-4,19.69
20170413-5,21.27
20170413-6,31.11
20170413-7,31.77
20170413-8,32.60
20170413-9,32.65
20170413-10,32.97
20170413-11,33.30
20170413-12,32.51
20170413-13,32.78
20170413-14,31.46
20170413-15,30.35
20170413-16,30.72
20170413-17,30.06
20170413-18,28.27
20170413-19,29.65
20170413-20,37.44
20170413-21,31.43
20170413-22,23.55
20170413-23,21.37
20170414-0,19.51
20170414-1,19.16
20170414-2,18.81
20170414-3,18.69
20170414-4,19.06
20170414-5,20.49
20170414-6,24.76
20170414-7,26.20
20170414-8,27.20
20170414-9,28.29
20170414-10,28.43
20170414-11,28.50
20170414-12,28.12
20170414-13,28.33
20170414-14,27.21
20170414-15,26.42
20170414-16,26.62
20170414-17,26.67
20170414-18,25.34
20170414-19,26.95
20170414-20,29.98
20170414-21,27.54
20170414-22,23.08
20170414-23,20.35
20170415-0,20.65
20170415-1,19.17
20170415-2,18.37
20170415-3,17.98
20170415-4,18.08
20170415-5,18.93
20170415-6,20.83
20170415-7,22.45
20170415-8,24.66
20170415-9,26.33
20170415-10,26.84
20170415-11,27.28
20170415-12,26.44
20170415-13,25.12
20170415-14,25.35
20170415-15,25.43
20170415-16,26.95
20170415-17,26.75
20170415-18,26.60
20170415-19,28.15
20170415-20,33.46
20170415-21,29.73
20170415-22,23.31
20170415-23,21.76
20170416-0,19.81
20170416-1,18.90
20170416-2,18.01
20170416-3,16.77
20170416-4,16.52
20170416-5,17.28
20170416-6,18.72
20170416-7,19.86
20170416-8,21.40
20170416-9,23.62
20170416-10,24.57
20170416-11,25.26
20170416-12,26.22
20170416-13,27.27
20170416-14,29.07
20170416-15,30.31
20170416-16,32.36
20170416-17,32.33
20170416-18,32.27
20170416-19,32.98
20170416-20,44.29
20170416-21,34.85
20170416-22,25.48
20170416-23,21.93
20170417-0,20.52
20170417-1,19.69
20170417-2,19.10
20170417-3,18.65
20170417-4,19.63
20170417-5,22.03
20170417-6,27.40
20170417-7,29.90
20170417-8,30.86
20170417-9,32.39
20170417-10,35.82
20170417-11,37.75
20170417-12,37.15
20170417-13,38.41
20170417-14,36.28
20170417-15,35.52
20170417-16,35.99
20170417-17,34.41
20170417-18,30.42
20170417-19,32.26
20170417-20,44.43
20170417-21,32.17
20170417-22,24.50
20170417-23,21.89
20170418-0,20.22
20170418-1,19.81
20170418-2,19.82
20170418-3,19.53
20170418-4,20.63
20170418-5,22.30
20170418-6,28.64
20170418-7,30.66
20170418-8,30.60
20170418-9,31.46
20170418-10,32.29
20170418-11,33.12
20170418-12,32.91
20170418-13,33.97
20170418-14,32.90
20170418-15,30.79
20170418-16,32.58
20170418-17,30.29
20170418-18,28.16
20170418-19,30.18
20170418-20,37.63
20170418-21,32.16
20170418-22,24.22
20170418-23,21.74
20170419-0,20.59
20170419-1,20.02
20170419-2,19.83
20170419-3,19.82
20170419-4,20.59
20170419-5,22.58
20170419-6,27.51
20170419-7,28.83
20170419-8,31.37
20170419-9,34.80
20170419-10,35.65
20170419-11,36.14
20170419-12,36.15
20170419-13,36.25
20170419-14,35.81
20170419-15,35.84
20170419-16,36.59
20170419-17,36.58
20170419-18,35.31
20170419-19,35.23
20170419-20,42.86
20170419-21,36.01
20170419-22,25.80
20170419-23,23.20
20170420-0,20.79
20170420-1,19.88
20170420-2,19.46
20170420-3,19.21
20170420-4,19.75
20170420-5,21.56
20170420-6,26.77
20170420-7,27.43
20170420-8,28.77
20170420-9,30.79
20170420-10,31.49
20170420-11,33.89
20170420-12,36.17
20170420-13,38.12
20170420-14,39.09
20170420-15,41.36
20170420-16,42.49
20170420-17,40.15
20170420-18,36.05
20170420-19,36.34
20170420-20,47.75
20170420-21,34.91
20170420-22,26.48
20170420-23,22.61
20170421-0,21.24
20170421-1,20.70
20170421-2,20.37
20170421-3,19.87
20170421-4,20.56
20170421-5,22.07
20170421-6,26.69
20170421-7,28.73
20170421-8,30.24
20170421-9,31.49
20170421-10,33.93
20170421-11,34.27
20170421-12,36.32
20170421-13,38.15
20170421-14,37.81
20170421-15,36.43
20170421-16,36.25
20170421-17,34.47
20170421-18,30.83
20170421-19,30.28
20170421-20,37.28
20170421-21,32.13
20170421-22,25.03
20170421-23,23.06
20170422-0,22.17
20170422-1,21.88
20170422-2,21.42
20170422-3,20.74
20170422-4,20.82
20170422-5,21.28
20170422-6,22.16
20170422-7,22.79
20170422-8,24.70
20170422-9,26.50
20170422-10,27.16
20170422-11,26.14
20170422-12,25.32
20170422-13,24.43
20170422-14,24.21
20170422-15,23.78
20170422-16,24.10
20170422-17,24.23
20170422-18,24.49
20170422-19,25.34
20170422-20,29.66
20170422-21,26.14
20170422-22,23.53
20170422-23,22.22
20170423-0,21.05
20170423-1,20.62
20170423-2,20.44
20170423-3,20.11
20170423-4,20.27
20170423-5,20.52
20170423-6,20.95
20170423-7,21.56
20170423-8,22.95
20170423-9,24.04
20170423-10,24.45
20170423-11,24.05
20170423-12,23.98
20170423-13,23.31
20170423-14,23.28
20170423-15,22.92
20170423-16,23.73
20170423-17,24.55
20170423-18,25.11
20170423-19,27.09
20170423-20,32.77
20170423-21,28.34
20170423-22,23.72
20170423-23,21.57
20170424-0,20.89
20170424-1,20.52
20170424-2,20.36
20170424-3,20.34
20170424-4,21.23
20170424-5,22.81
20170424-6,30.16
20170424-7,30.86
20170424-8,32.86
20170424-9,33.51
20170424-10,35.53
20170424-11,33.95
20170424-12,34.40
20170424-13,33.77
20170424-14,33.22
20170424-15,29.34
20170424-16,31.21
20170424-17,31.00
20170424-18,29.54
20170424-19,29.16
20170424-20,32.68
20170424-21,29.73
20170424-22,23.81
20170424-23,22.02
20170425-0,20.20
20170425-1,19.84
20170425-2,19.27
20170425-3,19.32
20170425-4,19.84
20170425-5,21.77
20170425-6,28.40
20170425-7,29.24
20170425-8,31.40
20170425-9,31.46
20170425-10,33.61
20170425-11,32.37
20170425-12,32.43
20170425-13,32.97
20170425-14,32.54
20170425-15,31.39
20170425-16,32.18
20170425-17,31.30
20170425-18,30.39
20170425-19,30.14
20170425-20,33.98
20170425-21,30.05
20170425-22,23.69
20170425-23,21.62
20170426-0,20.06
20170426-1,19.66
20170426-2,19.66
20170426-3,19.35
20170426-4,20.23
20170426-5,21.98
20170426-6,26.79
20170426-7,28.19
20170426-8,30.70
20170426-9,31.75
20170426-10,33.14
20170426-11,34.08
20170426-12,35.57
20170426-13,36.38
20170426-14,37.15
20170426-15,37.04
20170426-16,39.96
20170426-17,38.52
20170426-18,36.80
20170426-19,36.62
20170426-20,41.37
20170426-21,37.24
20170426-22,25.61
20170426-23,22.79
20170427-0,19.91
20170427-1,19.35
20170427-2,18.82
20170427-3,18.47
20170427-4,19.19
20170427-5,20.93
20170427-6,26.40
20170427-7,26.00
20170427-8,27.77
20170427-9,30.66
20170427-10,32.48
20170427-11,32.83
20170427-12,34.19
20170427-13,36.44
20170427-14,36.15
20170427-15,36.31
20170427-16,37.66
20170427-17,37.71
20170427-18,33.07
20170427-19,34.22
20170427-20,40.12
20170427-21,33.31
20170427-22,24.57
20170427-23,22.60
20170428-0,21.17
20170428-1,20.60
20170428-2,20.12
20170428-3,19.14
20170428-4,19.97
20170428-5,21.81
20170428-6,25.82
20170428-7,26.98
20170428-8,29.06
20170428-9,31.18
20170428-10,33.76
20170428-11,34.83
20170428-12,35.82
20170428-13,36.68
20170428-14,38.30
20170428-15,40.88
20170428-16,43.02
20170428-17,42.05
20170428-18,35.87
20170428-19,34.32
20170428-20,39.99
20170428-21,34.59
20170428-22,26.65
20170428-23,23.74
20170429-0,22.97
20170429-1,22.51
20170429-2,21.89
20170429-3,21.03
20170429-4,20.96
20170429-5,21.83
20170429-6,22.93
20170429-7,23.66
20170429-8,26.12
20170429-9,28.37
20170429-10,32.81
20170429-11,35.46
20170429-12,35.66
20170429-13,37.80
20170429-14,41.74
20170429-15,44.35
20170429-16,50.02
20170429-17,47.63
20170429-18,40.21
20170429-19,38.53
20170429-20,44.55
20170429-21,36.66
20170429-22,28.61
20170429-23,24.29
20170430-0,22.46
20170430-1,21.84
20170430-2,20.55
20170430-3,19.56
20170430-4,19.36
20170430-5,19.45
20170430-6,20.05
20170430-7,22.23
20170430-8,23.41
20170430-9,24.36
20170430-10,26.83
20170430-11,28.89
20170430-12,31.62
20170430-13,34.16
20170430-14,36.69
20170430-15,37.49
20170430-16,40.99
20170430-17,39.62
20170430-18,34.03
20170430-19,32.14
20170430-20,40.18
20170430-21,31.24
20170430-22,25.48
20170430-23,22.68
20170501-0,20.43
20170501-1,19.75
20170501-2,18.96
20170501-3,18.43
20170501-4,19.18
20170501-5,20.72
20170501-6,25.56
20170501-7,27.03
20170501-8,28.67
20170501-9,30.60
20170501-10,31.97
20170501-11,34.19
20170501-12,34.02
20170501-13,35.30
20170501-14,34.96
20170501-15,35.64
20170501-16,36.20
20170501-17,35.76
20170501-18,32.96
20170501-19,31.86
20170501-20,37.64
20170501-21,32.17
20170501-22,24.50
20170501-23,21.92
20170502-0,21.22
20170502-1,20.75
20170502-2,20.11
20170502-3,19.54
20170502-4,20.55
20170502-5,22.81
20170502-6,28.29
20170502-7,31.02
20170502-8,31.44
20170502-9,32.50
20170502-10,33.10
20170502-11,32.48
20170502-12,33.11
20170502-13,33.00
20170502-14,33.03
20170502-15,33.52
20170502-16,33.33
20170502-17,33.46
20170502-18,32.21
20170502-19,30.93
20170502-20,37.87
20170502-21,33.88
20170502-22,26.21
20170502-23,22.56
20170503-0,22.70
20170503-1,22.24
20170503-2,21.75
20170503-3,21.14
20170503-4,22.37
20170503-5,24.26
20170503-6,30.03
20170503-7,34.90
20170503-8,35.10
20170503-9,35.44
20170503-10,34.48
20170503-11,34.72
20170503-12,34.02
20170503-13,34.42
20170503-14,34.29
20170503-15,33.94
20170503-16,34.31
20170503-17,35.21
20170503-18,33.80
20170503-19,32.49
20170503-20,41.70
20170503-21,34.41
20170503-22,27.59
20170503-23,23.25
20170504-0,22.95
20170504-1,22.31
20170504-2,21.28
20170504-3,20.49
20170504-4,22.07
20170504-5,23.38
20170504-6,28.85
20170504-7,31.70
20170504-8,32.87
20170504-9,33.68
20170504-10,34.41
20170504-11,34.44
20170504-12,32.85
20170504-13,32.46
20170504-14,31.83
20170504-15,30.28
20170504-16,31.15
20170504-17,31.85
20170504-18,29.16
20170504-19,29.21
20170504-20,34.35
20170504-21,32.95
20170504-22,25.59
20170504-23,23.20
20170505-0,20.64
20170505-1,20.15
20170505-2,19.48
20170505-3,19.16
20170505-4,19.60
20170505-5,21.67
20170505-6,25.85
20170505-7,29.49
20170505-8,30.96
20170505-9,32.43
20170505-10,33.68
20170505-11,34.50
20170505-12,33.73
20170505-13,33.92
20170505-14,31.40
20170505-15,31.52
20170505-16,31.84
20170505-17,32.87
20170505-18,30.13
20170505-19,29.46
20170505-20,34.08
20170505-21,32.07
20170505-22,26.99
20170505-23,22.92
20170506-0,22.77
20170506-1,22.22
20170506-2,22.30
20170506-3,22.03
20170506-4,22.06
20170506-5,22.28
20170506-6,22.34
20170506-7,24.03
20170506-8,26.08
20170506-9,28.34
20170506-10,28.24
20170506-11,28.06
20170506-12,27.08
20170506-13,26.31
20170506-14,25.44
20170506-15,24.68
20170506-16,25.09
20170506-17,25.40
20170506-18,26.02
20170506-19,26.34
20170506-20,31.24
20170506-21,28.82
20170506-22,24.70
20170506-23,22.83
20170507-0,22.17
20170507-1,22.15
20170507-2,22.08
20170507-3,21.64
20170507-4,21.82
20170507-5,21.90
20170507-6,22.00
20170507-7,22.76
20170507-8,24.65
20170507-9,26.06
20170507-10,26.24
20170507-11,25.47
20170507-12,24.90
20170507-13,24.55
20170507-14,23.91
20170507-15,23.80
20170507-16,24.24
20170507-17,25.02
20170507-18,26.04
20170507-19,26.83
20170507-20,34.82
20170507-21,33.81
20170507-22,25.21
20170507-23,23.62
20170508-0,22.38
20170508-1,22.36
20170508-2,22.36
20170508-3,22.36
20170508-4,22.98
20170508-5,25.80
20170508-6,38.73
20170508-7,44.88
20170508-8,41.88
20170508-9,40.07
20170508-10,40.15
20170508-11,39.88
20170508-12,37.89
20170508-13,38.77
20170508-14,35.99
20170508-15,34.73
20170508-16,36.67
20170508-17,37.00
20170508-18,35.34
20170508-19,34.60
20170508-20,47.28
20170508-21,40.99
20170508-22,29.41
20170508-23,24.83
20170509-0,23.30
20170509-1,23.06
20170509-2,22.41
20170509-3,22.30
20170509-4,23.32
20170509-5,25.40
20170509-6,35.84
20170509-7,39.68
20170509-8,37.10
20170509-9,36.88
20170509-10,36.30
20170509-11,36.58
20170509-12,36.03
20170509-13,36.41
20170509-14,35.83
20170509-15,36.45
20170509-16,36.31
20170509-17,36.71
20170509-18,34.08
20170509-19,34.15
20170509-20,41.82
20170509-21,36.98
20170509-22,28.05
20170509-23,24.03
20170510-0,22.36
20170510-1,22.08
20170510-2,21.27
20170510-3,20.94
20170510-4,21.99
20170510-5,23.99
20170510-6,32.20
20170510-7,35.74
20170510-8,34.75
20170510-9,35.40
20170510-10,35.02
20170510-11,36.65
20170510-12,38.86
20170510-13,38.19
20170510-14,38.66
20170510-15,37.85
20170510-16,38.29
20170510-17,38.02
20170510-18,36.62
20170510-19,34.36
20170510-20,39.71
20170510-21,38.06
20170510-22,28.15
20170510-23,23.76
20170511-0,21.98
20170511-1,21.38
20170511-2,20.72
20170511-3,20.47
20170511-4,21.22
20170511-5,23.02
20170511-6,30.03
20170511-7,34.90
20170511-8,34.71
20170511-9,36.06
20170511-10,36.68
20170511-11,37.51
20170511-12,37.23
20170511-13,37.04
20170511-14,37.74
20170511-15,37.76
20170511-16,36.78
20170511-17,37.36
20170511-18,36.06
20170511-19,32.89
20170511-20,37.54
20170511-21,36.86
20170511-22,27.72
20170511-23,23.55
20170512-0,21.96
20170512-1,21.71
20170512-2,21.31
20170512-3,20.85
20170512-4,21.44
20170512-5,23.04
20170512-6,28.21
20170512-7,33.29
20170512-8,34.40
20170512-9,34.26
20170512-10,34.68
20170512-11,34.60
20170512-12,34.60
20170512-13,34.46
20170512-14,34.40
20170512-15,33.47
20170512-16,33.09
20170512-17,32.67
20170512-18,30.02
20170512-19,28.81
20170512-20,33.49
20170512-21,31.05
20170512-22,25.90
20170512-23,23.40
20170513-0,23.03
20170513-1,22.25
20170513-2,22.08
20170513-3,21.89
20170513-4,21.97
20170513-5,22.07
20170513-6,23.38
20170513-7,25.55
20170513-8,27.23
20170513-9,30.15
20170513-10,31.08
20170513-11,31.31
20170513-12,31.29
20170513-13,30.05
20170513-14,28.16
20170513-15,27.80
20170513-16,27.92
20170513-17,28.09
20170513-18,28.88
20170513-19,27.91
20170513-20,31.95
20170513-21,29.82
20170513-22,26.46
20170513-23,23.67
20170514-0,22.78
20170514-1,21.65
20170514-2,20.92
20170514-3,20.25
20170514-4,20.40
20170514-5,20.51
20170514-6,19.94
20170514-7,21.16
20170514-8,23.58
20170514-9,24.81
20170514-10,25.51
20170514-11,25.64
20170514-12,26.11
20170514-13,26.35
20170514-14,26.86
20170514-15,27.46
20170514-16,29.33
20170514-17,31.44
20170514-18,29.65
20170514-19,29.49
20170514-20,35.24
20170514-21,33.18
20170514-22,26.45
20170514-23,23.55
20170515-0,21.40
20170515-1,21.09
20170515-2,20.88
20170515-3,20.56
20170515-4,21.20
20170515-5,23.00
20170515-6,28.22
20170515-7,31.41
20170515-8,32.46
20170515-9,35.16
20170515-10,37.79
20170515-11,38.91
20170515-12,41.34
20170515-13,42.05
20170515-14,41.37
20170515-15,42.54
20170515-16,43.34
20170515-17,42.33
20170515-18,40.04
20170515-19,37.20
20170515-20,40.98
20170515-21,38.80
20170515-22,27.57
20170515-23,24.70
20170516-0,21.59
20170516-1,20.83
20170516-2,19.60
20170516-3,19.09
20170516-4,19.89
20170516-5,22.77
20170516-6,26.90
20170516-7,29.29
20170516-8,30.78
20170516-9,32.69
20170516-10,35.82
20170516-11,37.10
20170516-12,38.86
20170516-13,43.05
20170516-14,43.69
20170516-15,46.44
20170516-16,50.49
20170516-17,49.48
20170516-18,44.27
20170516-19,39.69
20170516-20,42.66
20170516-21,38.45
20170516-22,29.33
20170516-23,24.92
20170517-0,23.04
20170517-1,21.72
20170517-2,19.98
20170517-3,19.26
20170517-4,19.77
20170517-5,22.08
20170517-6,26.53
20170517-7,29.18
20170517-8,31.51
20170517-9,34.23
20170517-10,40.44
20170517-11,43.98
20170517-12,50.05
20170517-13,54.74
20170517-14,63.02
20170517-15,78.52
20170517-16,94.42
20170517-17,92.66
20170517-18,65.28
20170517-19,49.54
20170517-20,52.14
20170517-21,44.63
20170517-22,34.94
20170517-23,30.41
20170518-0,27.25
20170518-1,23.87
20170518-2,22.00
20170518-3,21.25
20170518-4,21.21
